1,1.7;[0.2106878  0.09049386];[3.02771923e+01 2.66557623e-02]
3,1.7;[0.2106878  0.09049386];[30.14055667  0.2142473 ]
5,1.7;[0.2100635  0.09003519];[30.10029185  0.30073224]
7,1.7;[0.2100745  0.09002045];[30.45138753  0.3045802 ]
1,1.5;[0.185901   0.09049386];[3.02938861e+01 2.46057096e-02]
3,1.5;[0.185901   0.09049386];[30.90293782  0.18255853]
5,1.5;[0.18535015 0.09003519];[30.00288169  0.16586104]
7,1.5;[0.18535985 0.09002045];[30.07292885  0.12780078]
1,1.0;[0.123934   0.09049386];[3.01085050e+01 1.65856335e-02]
3,1.0;[0.123934   0.09049386];[30.37364483  0.1828853 ]
5,1.0;[0.12356677 0.09003519];[30.05993472  0.16688209]
7,1.0;[0.12357323 0.09002045];[30.06279564  0.11755668]
1,0.5;[0.061967   0.09049386];[3.02471650e+01 2.75553178e-02]
3,0.5;[0.061967   0.09049386];[30.03935125  0.18266092]
5,0.5;[0.06178338 0.09003519];[30.01804034  0.16572807]
7,0.5;[0.06178662 0.09002045];[30.0084395   0.12097307]
1,0.25;[0.0309835  0.09049386];[3.00833611e+01 2.84943996e-02]
3,0.25;[0.0309835  0.09049386];[30.01118945  0.18274068]
5,0.25;[0.03089169 0.09003519];[30.0016392   0.16616302]
7,0.25;[0.03089331 0.09002045];[30.01224649  0.12188956]
1,0.125;[0.01549175 0.09049386];[3.00655262e+01 2.84377305e-02]
3,0.125;[0.01549175 0.09049386];[30.00718504  0.18256365]
5,0.125;[0.01544585 0.09003519];[30.0060802   0.16614805]
7,0.125;[0.01544665 0.09002045];[30.01163093  0.12155416]
1,0.0625;[0.00774587 0.09049386];[3.00112613e+01 2.83858602e-02]
3,0.0625;[0.00774587 0.09049386];[30.00134092  0.18254382]
5,0.0625;[0.00772292 0.09003519];[30.0011958   0.16586987]
7,0.0625;[0.00772333 0.09002045];[30.00375494  0.12250531]
